,mes_ano,UF,Novos_Casos,obitosNovos
207,2021-03,RJ,64831,3647
208,2021-03,RN,29366,922
209,2021-03,RO,38498,1293
210,2021-03,RR,7383,240
211,2021-03,RS,204456,7344
212,2021-03,SC,149829,3527
213,2021-03,SE,23189,540
214,2021-03,SP,428144,15159
215,2021-03,TO,27051,506
216,2021-04,AC,8146,267
217,2021-04,AL,20174,668
218,2021-04,AM,21653,612
219,2021-04,AP,8212,241
220,2021-04,BA,96861,3102
221,2021-04,CE,128681,3394
222,2021-04,DF,34419,1769
223,2021-04,ES,54019,2001
224,2021-04,GO,67173,3402
225,2021-04,MA,24509,1206
226,2021-04,MG,235224,9312
227,2021-04,MS,32587,1441
228,2021-04,MT,51385,2071
229,2021-04,PA,54036,2555
230,2021-04,PB,33496,1052
231,2021-04,PE,57354,1863
232,2021-04,PI,35415,997
233,2021-04,PR,101310,5654
234,2021-04,RJ,94740,7679
235,2021-04,RN,26714,953
236,2021-04,RO,25468,1020
237,2021-04,RR,6747,166
238,2021-04,RS,129589,5215
239,2021-04,SC,81006,2649
240,2021-04,SE,27179,773
241,2021-04,SP,433682,21539
242,2021-04,TO,18741,514
243,2021-05,AC,4721,133
244,2021-05,AL,19384,531
245,2021-05,AM,15642,358
246,2021-05,AP,6368,153
247,2021-05,BA,110997,2721
248,2021-05,CE,133497,3056
249,2021-05,DF,27120,872
250,2021-05,ES,44924,1256
251,2021-05,GO,56874,2033
252,2021-05,MA,23389,864
253,2021-05,MG,212867,6762
254,2021-05,MS,42540,1097
255,2021-05,MT,44414,1135
256,2021-05,PA,45055,1523
257,2021-05,PB,38296,876
258,2021-05,PE,75572,1824
259,2021-05,PI,32445,826
260,2021-05,PR,145558,4018
261,2021-05,RJ,122748,6178
262,2021-05,RN,45451,656
263,2021-05,RO,16828,595
264,2021-05,RR,7154,127
265,2021-05,RS,110554,3241
266,2021-05,SC,80309,1742
267,2021-05,SE,35126,817
268,2021-05,SP,368135,15183
269,2021-05,TO,18580,331
270,2021-06,AC,3032,76
271,2021-06,AL,23671,589
272,2021-06,AM,15671,328
273,2021-06,AP,5066,139
274,2021-06,BA,112405,2722
275,2021-06,CE,82786,2097
276,2021-06,DF,24558,581
277,2021-06,ES,35588,660
278,2021-06,GO,66785,2154
279,2021-06,MA,27147,903
280,2021-06,MG,231744,5712
281,2021-06,MS,44686,1389
282,2021-06,MT,45360,1069
283,2021-06,PA,36323,965
284,2021-06,PB,65477,934
285,2021-06,PE,68135,1823
286,2021-06,PI,22916,670
287,2021-06,PR,190455,4267
288,2021-06,RJ,92836,4886
289,2021-06,RN,71739,652
290,2021-06,RO,18041,378
291,2021-06,RR,8581,109
292,2021-06,RS,129996,3206
293,2021-06,SC,84211,1585
294,2021-06,SE,26607,607
295,2021-06,SP,455178,16307
296,2021-06,TO,19068,330
297,2021-07,AC,1585,61
298,2021-07,AL,13243,469
299,2021-07,AM,14623,214
300,2021-07,AP,4030,72
301,2021-07,BA,68460,1718
302,2021-07,CE,32983,948
303,2021-07,DF,19705,369
304,2021-07,ES,24823,407
305,2021-07,GO,67374,1577
306,2021-07,MA,19670,593
307,2021-07,MG,162776,4200
308,2021-07,MS,20551,734
309,2021-07,MT,37644,732
310,2021-07,PA,19519,579
311,2021-07,PB,25606,381
312,2021-07,PE,40493,1099
313,2021-07,PI,13918,238
314,2021-07,PR,94336,4505
315,2021-07,RJ,73640,3799
316,2021-07,RN,19500,325
317,2021-07,RO,10238,232
318,2021-07,RR,7841,110
319,2021-07,RS,152389,1936
320,2021-07,SC,61302,1117
321,2021-07,SE,10750,212
322,2021-07,SP,330469,11315
323,2021-07,TO,12811,305
324,2021-08,AC,682,15
325,2021-08,AL,5814,263
326,2021-08,AM,7569,160
327,2021-08,AP,1209,46
328,2021-08,BA,27004,729
329,2021-08,CE,12196,496
330,2021-08,DF,20305,434
331,2021-08,ES,19764,348
332,2021-08,GO,73869,1664
333,2021-08,MA,11948,395
334,2021-08,MG,99814,2511
335,2021-08,MS,12619,432
336,2021-08,MT,29763,689
337,2021-08,PA,11341,405
338,2021-08,PB,11274,200
339,2021-08,PE,16744,599
340,2021-08,PI,6741,110
341,2021-08,PR,78956,2238
342,2021-08,RJ,96327,3188
343,2021-08,RN,5368,174
344,2021-08,RO,5366,110
345,2021-08,RR,3792,84
346,2021-08,RS,40965,865
347,2021-08,SC,42612,725
348,2021-08,SE,3193,82
349,2021-08,SP,204807,6840
350,2021-08,TO,8740,171
351,2021-09,AC,88,2
352,2021-09,AL,1408,64
353,2021-09,AM,1285,18
354,2021-09,AP,175,7
355,2021-09,BA,5227,147
356,2021-09,CE,3163,112
357,2021-09,DF,9547,158
358,2021-09,ES,8354,98
359,2021-09,GO,20044,490
360,2021-09,MA,3348,70
361,2021-09,MG,29957,689
362,2021-09,MS,2137,93
363,2021-09,MT,6917,157
364,2021-09,PA,2663,78
365,2021-09,PB,3248,53
366,2021-09,PE,5907,156
367,2021-09,PI,1582,26
368,2021-09,PR,20420,577
369,2021-09,RJ,31081,1423
370,2021-09,RN,1311,29
371,2021-09,RO,999,25
372,2021-09,RR,792,26
373,2021-09,RS,10457,254
374,2021-09,SC,10502,233
375,2021-09,SE,198,11
376,2021-09,SP,37622,1400
377,2021-09,TO,2056,30
